"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","0.2697406103","1.2055910487","0.5697450415","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","-0.2789629723","-1.2133224192","0.5747328149","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","-0.4559880501","-1.3717219265","0.3448113887","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","-0.4561880089","-1.3719120615","0.6445832646","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","-0.0808108357","-1.0576122818","0.874562356","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","-0.0955191546","-1.0684498212","0.8659775276","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","-0.3252170242","-1.2528528907","0.7106369343","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","-0.3634256903","-1.2864770231","0.5930746337","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","-4.0009785956","-16.0108566539","0.1572479203","","","","","",""
"FRANCCI3_RS00055","0.6416096539","1.5600687996","0.3394234059","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
