"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","-0.2715331192","-1.2070898934","0.423585305","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","-0.1054698829","-1.0758447339","0.8113239449","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","-0.2128188337","-1.1589504077","0.5534958894","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","0.3274121309","1.2547605975","0.5052140514","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","0.0646938832","1.0458630008","0.8924583086","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","-0.0719721447","-1.0511526134","0.8700136275","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","-0.1232330652","-1.0891729554","0.7762157686","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","-0.2133063466","-1.1593421043","0.629536722","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","-0.4729050669","-1.3879013884","0.6004905716","","","","","",""
"FRANCCI3_RS00055","0.0839763239","1.0599353887","0.8592448804","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
"FRANCCI3_RS00060","0.1645212279","1.1207940701","0.7920958895","FRANCCI3_RS00060, FRANCCI3_RS00065","Francci3_0011, Francci3_0012","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1",""
"FRANCCI3_RS00065","0.5753296206","1.4900178569","0.2401853683","FRANCCI3_RS00060, FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0011, Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1, WP_023839953.1",""
"FRANCCI3_RS00070","-0.4961107129","-1.4104061914","0.3678855382","FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434488.1, WP_023839953.1",""
"def","0.4725145672","1.3875257709","0.2161098487","FRANCCI3_RS00075","Francci3_0014","GO:0042586 - peptide deformylase activity [Evidence IEA]","GO:0036211 - protein modification process [Evidence IEA]","WP_023839952.1",""
"FRANCCI3_RS00085","-0.1019173951","-1.0731988361","0.8297225072","FRANCCI3_RS00085","Francci3_0015","","","WP_236701414.1",""
"FRANCCI3_RS00090","0.7898662793","1.7289142054","0.1291095836","FRANCCI3_RS00090","Francci3_0016","GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups [Evidence IEA]","","WP_236701413.1",""
"cas3_1","-0.0821581206","-1.058600412","0.8535484067","FRANCCI3_RS00095","Francci3_0017","GO:0004386 - helicase activity [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_256375104.1",""
"casA","-0.2857506702","-1.2190443978","0.5307286591","FRANCCI3_RS00100","Francci3_0018","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434494.1",""
"casB","-1.027239818","-2.0381211602","0.1010027867","FRANCCI3_RS00105","Francci3_0019","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434495.1",""
"cas7e","-0.0333355214","-1.0233754441","0.946770599","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas5e","-0.9856622951","-1.9802221609","0.1778672674","FRANCCI3_RS00110, FRANCCI3_RS00115","Francci3_0020, Francci3_0021","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434496.1, WP_011434497.1",""
"cas6e","-0.5551580902","-1.4693296332","0.3490998249","FRANCCI3_RS00120","Francci3_0022","GO:0003674 - molecular_function [Evidence IEA]","GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434498.1",""
"cas1e","-0.3049845069","-1.23540537","0.5428225733","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"cas2e","-0.6180301552","-1.5347781756","0.5389366641","FRANCCI3_RS00125, FRANCCI3_RS00130","Francci3_0023, Francci3_0024","GO:0004520 - DNA endonuclease activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA]; GO:0003676 - nucleic acid binding [Evidence IEA], GO:0004521 - RNA endonuclease activity [Evidence IEA]","GO:0051607 - defense response to virus [Evidence IEA]; GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA], GO:0043571 - maintenance of CRISPR repeat elements [Evidence IEA]","WP_011434499.1, WP_011434500.1",""
"FRANCCI3_RS00135","-0.1744504878","-1.1285344723","0.7633505547","FRANCCI3_RS00135","Francci3_0028","","","WP_011434504.1",""
"FRANCCI3_RS00145","-0.2903604323","-1.2229457713","0.6106613757","FRANCCI3_RS00145","Francci3_0030","","","WP_023840580.1",""
"FRANCCI3_RS00150","-0.1470766552","-1.1073234187","0.7459735294","FRANCCI3_RS00150","Francci3_0031","","","WP_011434507.1",""
"FRANCCI3_RS00155","0.4106711354","1.3293040567","0.6162618403","FRANCCI3_RS00155","Francci3_0032","","","WP_011434508.1",""
"FRANCCI3_RS00160","0.5280074331","1.4419363006","0.2778070006","FRANCCI3_RS00160","Francci3_0033","GO:0003674 - molecular_function [Evidence IEA]","GO:0008150 - biological_process [Evidence IEA]","WP_011434509.1","GO:0005575 - cellular_component [Evidence IEA]"
"FRANCCI3_RS00165","-0.0318323161","-1.022309701","0.9405811516","FRANCCI3_RS00165","Francci3_0034","","","WP_083503373.1",""
"FRANCCI3_RS00170","0.2412757021","1.1820374152","0.5596564171","FRANCCI3_RS00170","Francci3_0035","","","WP_011434511.1",""
"FRANCCI3_RS00175","-0.3215153213","-1.2496424101","0.4829598632","FRANCCI3_RS00175","Francci3_0036","","","WP_035957990.1",""
"FRANCCI3_RS23765","0.570699451","1.4852434756","0.2188744892","FRANCCI3_RS23765","Francci3_0037","","","WP_011434513.1",""
"FRANCCI3_RS00180","0.2241889133","1.1681203438","0.6629722682","FRANCCI3_RS00180, FRANCCI3_RS00185","Francci3_0038","","","WP_011434514.1, WP_023840585.1",""
"FRANCCI3_RS00185","0.1540947861","1.1127232249","0.7558132053","FRANCCI3_RS00180, FRANCCI3_RS00185","Francci3_0038","","","WP_011434514.1, WP_023840585.1",""
"FRANCCI3_RS28640","0.2888912395","1.2217009978","0.7806665277","FRANCCI3_RS28640","","GO:0003677 - DNA binding [Evidence IEA]","","WP_035729276.1",""
"FRANCCI3_RS00195","-0.4369998139","-1.3537861044","0.5752038601","FRANCCI3_RS00195","Francci3_0040","","","WP_023840588.1",""
"FRANCCI3_RS00200","0.0471340233","1.0332103662","0.9122028416","FRANCCI3_RS00200","Francci3_0041","","","WP_011434517.1",""
"FRANCCI3_RS26525","-1.2869258699","-2.4400756388","0.5515934367","FRANCCI3_RS26525","","","","WP_023840589.1",""
"FRANCCI3_RS00205","-0.3590387645","-1.2825710643","0.5465703781","FRANCCI3_RS00205","Francci3_0043","GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]; GO:0016491 - oxidoreductase activity [Evidence IEA]","","WP_011434519.1",""
"FRANCCI3_RS00210","-0.1745546662","-1.1286159677","0.6301492974","FRANCCI3_RS00210","Francci3_0044","GO:0004672 - protein kinase activity [Evidence IEA]","GO:0006468 - protein phosphorylation [Evidence IEA]","WP_237704553.1",""
"pgi","-0.0754562458","-1.0536942093","0.8638710182","FRANCCI3_RS00215","Francci3_0045","GO:0004347 - glucose-6-phosphate isomerase activity [Evidence IEA]","GO:0006094 - gluconeogenesis [Evidence IEA]; GO:0006096 - glycolytic process [Evidence IEA]","WP_011434521.1",""
"FRANCCI3_RS00220","-1.1070745486","-2.1540840578","0.2304045369","FRANCCI3_RS00220","Francci3_0046","","","WP_011434522.1",""
"FRANCCI3_RS26530","-1.0442115928","-2.0622390736","0.2537576494","FRANCCI3_RS26530","","","","WP_049760794.1",""
"FRANCCI3_RS00230","-0.2458072106","-1.1857560345","0.7773748914","FRANCCI3_RS00230","Francci3_0047","","","WP_011434523.1",""
"FRANCCI3_RS00235","-0.0493281658","-1.0347829339","0.899766083","FRANCCI3_RS00235","Francci3_0048","","","WP_237704554.1",""
"FRANCCI3_RS00240","-6.003E-3","-1.0041697792","0.9895023522","FRANCCI3_RS00240","Francci3_0049","GO:0005524 - ATP binding [Evidence IEA]","","WP_011434525.1",""
"FRANCCI3_RS00245","0.0437457599","1.0307866516","0.9443491318","FRANCCI3_RS00245","Francci3_0050","","","WP_011434526.1",""
"FRANCCI3_RS00250","-0.061789772","-1.0437598207","0.9358344069","FRANCCI3_RS00250","Francci3_0051","","","WP_011434527.1",""
"FRANCCI3_RS00255","0.044032057","1.0309912274","0.9314512029","FRANCCI3_RS00255","Francci3_0052","","","WP_011434528.1",""
"FRANCCI3_RS00260","0.1670253111","1.1227411196","0.7621586563","FRANCCI3_RS00260","Francci3_0053","","","WP_011434529.1",""
"FRANCCI3_RS00265","-0.0725693836","-1.0515878539","0.8848474082","FRANCCI3_RS00265","Francci3_0054","","","WP_232234807.1",""
"FRANCCI3_RS00270","0.3431632186","1.2685349062","0.4292808187","FRANCCI3_RS00270","Francci3_0055","","","WP_011434531.1",""
"FRANCCI3_RS00275","0.0279851471","1.019587186","0.9502897935","FRANCCI3_RS00275","Francci3_0056","","GO:0006096 - glycolytic process [Evidence IEA]","WP_011434532.1",""
"FRANCCI3_RS00280","0.3486600331","1.2733773723","0.4045298203","FRANCCI3_RS00280, FRANCCI3_RS00285","Francci3_0057, Francci3_0058","GO:0016491 - oxidoreductase activity [Evidence IEA], GO:0004739 - pyruvate dehydrogenase (acetyl-transferring) activity [Evidence IEA]","GO:0006086 - acetyl-CoA biosynthetic process from pyruvate [Evidence IEA]","WP_011434533.1, WP_235187070.1","GO:0045250 - cytosolic pyruvate dehydrogenase complex [Evidence IEA]"
"pdhA_1","0.2621294652","1.1992475276","0.5913900748","FRANCCI3_RS00280, FRANCCI3_RS00285","Francci3_0057, Francci3_0058","GO:0016491 - oxidoreductase activity [Evidence IEA], GO:0004739 - pyruvate dehydrogenase (acetyl-transferring) activity [Evidence IEA]","GO:0006086 - acetyl-CoA biosynthetic process from pyruvate [Evidence IEA]","WP_011434533.1, WP_235187070.1","GO:0045250 - cytosolic pyruvate dehydrogenase complex [Evidence IEA]"
"FRANCCI3_RS00290","-0.2592108382","-1.1968238566","0.5620694557","FRANCCI3_RS00290","Francci3_0059","GO:0070967 - coenzyme F420 binding [Evidence IEA]; GO:0016491 - oxidoreductase activity [Evidence IEA]","","WP_011434535.1",""
"FRANCCI3_RS00295","-0.3660697947","-1.2888369803","0.5266171459","FRANCCI3_RS00295","Francci3_0060","GO:0046872 - metal ion binding [Evidence IEA]; GO:0042578 - phosphoric ester hydrolase activity [Evidence IEA]","GO:0045227 - capsule polysaccharide biosynthetic process [Evidence IEA]","WP_108913669.1",""
"FRANCCI3_RS00300","-0.1720014463","-1.1266203579","0.7952046759","FRANCCI3_RS00300","Francci3_0061","GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]","GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]","WP_011434537.1",""
"FRANCCI3_RS00305","0.158172002","1.1158723517","0.8180286803","FRANCCI3_RS00305, FRANCCI3_RS00310","Francci3_0062, Francci3_0063","","","WP_011434538.1, WP_108913668.1",""
"FRANCCI3_RS00310","7.487E-3","1.0052029548","0.9871590588","FRANCCI3_RS00305, FRANCCI3_RS00310","Francci3_0062, Francci3_0063","","","WP_011434538.1, WP_108913668.1",""
"FRANCCI3_RS00315","4.945E-3","1.0034331574","0.989306391","FRANCCI3_RS00315","Francci3_0064","GO:0003824 - catalytic activity [Evidence IEA]; GO:0030170 - pyridoxal phosphate binding [Evidence IEA]","GO:0009058 - biosynthetic process [Evidence IEA]","WP_011434540.1",""
"FRANCCI3_RS00320","0.1673323847","1.1229801174","0.8828001256","FRANCCI3_RS00320","","","","WP_035957958.1",""
"FRANCCI3_RS00325","-0.9176218507","-1.8889988857","0.2072976697","FRANCCI3_RS00325, FRANCCI3_RS00330","Francci3_0065, Francci3_0066","","","WP_035729259.1, WP_011434542.1",""
"FRANCCI3_RS00330","-0.7695252009","-1.7047086619","0.1916651809","FRANCCI3_RS00325, FRANCCI3_RS00330","Francci3_0065, Francci3_0066","","","WP_035729259.1, WP_011434542.1",""
"FRANCCI3_RS26535","-0.2627006417","-1.1997224149","0.6590175901","FRANCCI3_RS26535","","","","WP_023840608.1",""
"FRANCCI3_RS00340","-0.0185819979","-1.0129633647","0.9634583481","FRANCCI3_RS00340","Francci3_0069","","","WP_023840609.1",""
"mscL","0.3823832709","1.3034933936","0.4549562467","FRANCCI3_RS00345","Francci3_0070","GO:0008381 - mechanosensitive monoatomic ion channel activity [Evidence IEA]","GO:0006810 - transport [Evidence IEA]","WP_011434546.1",""
"FRANCCI3_RS25765","-5.025E-3","-1.0034892016","0.9912629477","FRANCCI3_RS25765","","","","WP_083494738.1",""
"FRANCCI3_RS00355","0.1608144","1.1179180237","0.7097749472","FRANCCI3_RS00355","Francci3_0072","GO:0016787 - hydrolase activity [Evidence IEA]","","WP_011434548.1","GO:0005576 - extracellular region [Evidence IEA]"
"FRANCCI3_RS00360","-0.0328794526","-1.0230519829","0.96242739","FRANCCI3_RS00360","Francci3_0073","","","WP_236701411.1",""
"FRANCCI3_RS00365","0.6624079856","1.5827221235","0.2411770433","FRANCCI3_RS00365","Francci3_0074","","","WP_236701410.1",""
"FRANCCI3_RS00370","0.6839492274","1.6065314541","0.2434075921","FRANCCI3_RS00370","Francci3_0075","","","WP_235462841.1",""
"FRANCCI3_RS00375","-0.7396103927","-1.6697248601","0.0943628956","FRANCCI3_RS00375","Francci3_0076","GO:0042834 - peptidoglycan binding [Evidence IEA]; GO:0071972 - peptidoglycan L,D-transpeptidase activity [Evidence IEA]","","WP_023840613.1",""
"FRANCCI3_RS00380","0.0131177237","1.0091339756","0.9744255975","FRANCCI3_RS00380","Francci3_0077","","","WP_011434553.1",""
"FRANCCI3_RS26540","-0.9065877127","-1.8746063992","0.6858796748","FRANCCI3_RS26540","","","","WP_023840614.1",""
"pdxH","-0.0922862544","-1.0660582386","0.8815628655","FRANCCI3_RS00385","Francci3_0079","GO:0010181 - FMN binding [Evidence IEA]; GO:0004733 - pyridoxamine phosphate oxidase activity [Evidence IEA]","GO:0008615 - pyridoxine biosynthetic process [Evidence IEA]","WP_035729252.1",""
"FRANCCI3_RS00390","-1.1851722545","-2.2739054294","0.3822549606","FRANCCI3_RS00390","Francci3_0080","GO:0003953 - NAD+ nucleosidase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]","GO:0007165 - signal transduction [Evidence IEA]","WP_011434556.1",""
"FRANCCI3_RS00395","-0.0163136821","-1.0113719574","0.9684828265","FRANCCI3_RS00395, FRANCCI3_RS00400","Francci3_0081, Francci3_0082","GO:0004648 - O-phospho-L-serine:2-oxoglutarate aminotransferase activity [Evidence IEA]","GO:0006564 - L-serine biosynthetic process [Evidence IEA]","WP_011434557.1, WP_011434558.1",""
"serC","-0.0515369648","-1.0363684236","0.9005654574","FRANCCI3_RS00395, FRANCCI3_RS00400","Francci3_0081, Francci3_0082","GO:0004648 - O-phospho-L-serine:2-oxoglutarate aminotransferase activity [Evidence IEA]","GO:0006564 - L-serine biosynthetic process [Evidence IEA]","WP_011434557.1, WP_011434558.1",""
"FRANCCI3_RS00405","-0.1670053248","-1.1227255659","0.6733945273","FRANCCI3_RS00405","Francci3_0083","GO:0046912 - acyltransferase activity, acyl groups converted into alkyl on transfer [Evidence IEA]","","WP_011434559.1",""
"FRANCCI3_RS00410","-0.3768623833","-1.2985147333","0.5091307338","FRANCCI3_RS00410, FRANCCI3_RS00415","Francci3_0084, Francci3_0085","GO:0003677 - DNA binding [Evidence IEA], GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0046983 - protein dimerization activity [Evidence IEA]","GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0006355 - regulation of DNA-templated transcription [Evidence IEA], GO:0000160 - phosphorelay signal transduction system [Evidence IEA]","WP_011434560.1, WP_011434561.1","GO:0016020 - membrane [Evidence IEA]"
"FRANCCI3_RS00415","-0.6510244572","-1.5702828572","0.1966640184","FRANCCI3_RS00410, FRANCCI3_RS00415","Francci3_0084, Francci3_0085","GO:0003677 - DNA binding [Evidence IEA], GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0046983 - protein dimerization activity [Evidence IEA]","GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0006355 - regulation of DNA-templated transcription [Evidence IEA], GO:0000160 - phosphorelay signal transduction system [Evidence IEA]","WP_011434560.1, WP_011434561.1","GO:0016020 - membrane [Evidence IEA]"
"FRANCCI3_RS00420","1.1695514783","2.2494175358","0.1298039988","FRANCCI3_RS00420","Francci3_0086","GO:0003677 - DNA binding [Evidence IEA]; GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]","","WP_011434562.1",""
"FRANCCI3_RS00425","0.5616677181","1.4759744198","0.3063132369","FRANCCI3_RS00425","Francci3_0087","GO:0016491 - oxidoreductase activity [Evidence IEA]","","WP_023840617.1",""
"FRANCCI3_RS00430","-0.3253437135","-1.252962914","0.6393168363","FRANCCI3_RS00430, FRANCCI3_RS00435","Francci3_0088, Francci3_0089","","","WP_049760797.1, WP_011434565.1",""
"FRANCCI3_RS00435","-0.5510680452","-1.4651699782","0.5210332414","FRANCCI3_RS00430, FRANCCI3_RS00435","Francci3_0088, Francci3_0089","","","WP_049760797.1, WP_011434565.1",""
"FRANCCI3_RS00440","0.0289444416","1.0202653679","0.9643250088","FRANCCI3_RS00440","Francci3_0090","","","WP_011434566.1",""
"FRANCCI3_RS00445","0.3891747972","1.3096440902","0.5787277657","FRANCCI3_RS00445","Francci3_0091","","","WP_011434567.1",""
"FRANCCI3_RS00450","-0.1379382295","-1.1003314965","0.7490310472","FRANCCI3_RS00450","Francci3_0092","","","WP_049761029.1",""
"FRANCCI3_RS00455","0.2429737128","1.1834294584","0.7282279855","FRANCCI3_RS00455","Francci3_0093","","","WP_011434569.1",""
