"Name","Log? fold change","Fold change","P-value","locus_tag (NC_007777 (CDS))","old_locus_tag (NC_007777 (CDS))","GO_function (NC_007777 (CDS))","GO_process (NC_007777 (CDS))","protein_id (NC_007777 (CDS))","GO_component (NC_007777 (CDS))"
"dnaA","-0.0304504733","-1.0213309807","0.9526679905","FRANCCI3_RS00015","Francci3_0001","GO:0005524 - ATP binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]; GO:0043565 - sequence-specific DNA binding [Evidence IEA]","GO:0006275 - regulation of DNA replication [Evidence IEA]","WP_011434478.1",""
"dnaN_1","-0.5458167688","-1.4598465894","0.3280981977","FRANCCI3_RS00020","Francci3_0003","GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]","GO:0006260 - DNA replication [Evidence IEA]","WP_011434479.1","GO:0009360 - DNA polymerase III complex [Evidence IEA]"
"recF","-0.1143415479","-1.0824808839","0.8330059034","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"FRANCCI3_RS00030","0.4648703988","1.3801933613","0.6595288426","FRANCCI3_RS00025, FRANCCI3_RS00030","Francci3_0004, Francci3_0005","GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]","GO:0006281 - DNA repair [Evidence IEA]","WP_011434480.1, WP_011434481.1",""
"gyrB","-0.362736143","-1.2858622883","0.4913733765","FRANCCI3_RS00035","Francci3_0006","GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006265 - DNA topological change [Evidence IEA]","WP_035729010.1","GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]"
"gyrA","-0.8123311303","-1.7560466003","0.1831186225","FRANCCI3_RS00040","Francci3_0007","GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003916 - DNA topoisomerase activity [Evidence IEA]; GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]","GO:0006259 - DNA metabolic process [Evidence IEA]; GO:0006265 - DNA topological change [Evidence IEA]","WP_011434483.1",""
"FRANCCI3_RS23025","-0.9710418677","-1.9602557175","0.4293888352","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00045","-0.9834579992","-1.9771988866","0.2514608292","FRANCCI3_RS23025, FRANCCI3_RS00045","Francci3_0008, Francci3_0009","","","WP_162492183.1, WP_235463104.1",""
"FRANCCI3_RS00050","-3.778164465","-13.7195805079","0.3402129964","","","","","",""
"FRANCCI3_RS00055","-0.4984889489","-1.4127331177","0.5968883267","FRANCCI3_RS00055","Francci3_0010","GO:0016757 - glycosyltransferase activity [Evidence IEA]","","WP_011434486.1",""
"FRANCCI3_RS00060","-5.5049394986","-45.4100430258","0.158359219","FRANCCI3_RS00060, FRANCCI3_RS00065","Francci3_0011, Francci3_0012","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1",""
"FRANCCI3_RS00065","0.0494682681","1.0348834282","0.9596737498","FRANCCI3_RS00060, FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0011, Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434487.1, WP_011434488.1, WP_023839953.1",""
"FRANCCI3_RS00070","0.2116956908","1.158048512","0.8174641744","FRANCCI3_RS00065, FRANCCI3_RS00070","Francci3_0012, Francci3_0013","GO:0008168 - methyltransferase activity [Evidence IEA]; GO:1904047 - S-adenosyl-L-methionine binding [Evidence IEA]","","WP_011434488.1, WP_023839953.1",""
"def","0.3639946733","1.2869844955","0.4995883629","FRANCCI3_RS00075","Francci3_0014","GO:0042586 - peptide deformylase activity [Evidence IEA]","GO:0036211 - protein modification process [Evidence IEA]","WP_023839952.1",""
